ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	1567	0	2	0.000000	7.273772	7.273772	0.000000	0.000000	0	0	0
2	3394	0	2	0.000000	6.353270	6.353270	0.000000	0.000000	0	0	0
3	2145	0	0	0.000000	6.982284	6.982284	0.000000	0.000000	0	0	0
4	7071	0	2	0.000000	6.950926	6.875124	0.000000	0.000000	0	0	0
5	9103	0	2	0.000000	7.128309	7.008129	0.000000	0.000000	0	0	0
6	3170	2	0	0.000000	6.973186	6.973186	0.000000	0.000000	0	0	0
7	969	2	2	0.000000	6.911249	6.911249	0.000000	0.000000	0	0	0
8	3621	0	0	0.000000	6.419221	6.419221	0.000000	0.000000	0	0	0
9	2620	0	0	0.000000	7.662977	7.600763	0.000000	0.000000	0	0	0
10	8238	2	2	0.000000	6.735494	6.691673	0.000000	0.000000	0	0	0
11	1154	2	2	0.000000	6.916811	6.455806	0.000000	0.000000	0	0	0
12	5798	2	0	0.000000	6.880476	6.880476	0.000000	0.000000	0	0	0
13	3929	0	2	0.000000	6.392212	6.392212	0.000000	0.000000	0	0	0
14	2958	0	2	0.000000	6.621028	6.621028	0.000000	0.000000	0	0	0
15	1164	2	1	0.000000	6.283505	6.283505	0.000000	0.000000	0	0	0
16	2173	0	2	0.000000	7.671882	7.671882	0.000000	0.000000	0	0	0
17	3039	0	0	0.000000	7.383350	7.282988	0.000000	0.000000	0	0	0
18	754	0	2	0.000000	7.295756	7.295756	0.000000	0.000000	0	0	0
19	1523	2	2	0.000000	6.751149	6.751149	0.000000	0.000000	0	0	0
20	1419	2	0	0.000000	6.298802	6.259338	0.000000	0.000000	0	0	0
21	659	2	0	0.000000	6.289833	5.854325	0.000000	0.000000	0	0	0
22	2317	0	1	0.000000	7.047044	7.047044	0.000000	0.000000	0	0	0
23	533	2	0	0.000000	6.765478	6.765478	0.000000	0.000000	0	0	0
24	1025	1	0	0.000000	7.019512	7.019512	0.000000	0.000000	0	0	0
25	2403	2	2	0.000000	6.147316	6.086975	0.000000	0.000000	0	0	0
26	168	0	2	0.000000	8.303571	8.303571	0.000000	0.000000	0	0	0
27	3400	2	1	0.000000	7.085000	6.848824	0.000000	0.000000	0	0	0
28	15	2	2	0.000000	14.000000	14.000000	0.000000	0.000000	0	0	0
29	134	1	1	0.000000	8.925373	8.925373	0.000000	0.000000	0	0	0
30	287	0	0	0.000000	6.411150	6.411150	0.000000	0.000000	0	0	0
31	589	0	2	0.000000	6.847199	6.629881	0.000000	0.000000	0	0	0
32	1655	2	0	0.000000	6.614502	6.614502	0.000000	0.000000	0	0	0
33	339	2	0	0.000000	7.209440	7.209440	0.000000	0.000000	0	0	0
34	3946	0	0	0.000000	7.204004	7.182463	0.000000	0.000000	0	0	0
35	28	1	1	0.000000	3.857143	3.857143	0.000000	0.000000	0	0	0
36	1569	2	0	0.000000	6.571702	6.528362	0.000000	0.000000	0	0	0
37	623	2	2	0.000000	6.529695	6.529695	0.000000	0.000000	0	0	0
38	51	1	1	0.000000	6.901961	6.901961	0.000000	0.000000	0	0	0
39	291	2	2	0.000000	8.223368	8.223368	0.000000	0.000000	0	0	0
40	520	0	2	0.000000	6.428846	6.428846	0.000000	0.000000	0	0	0
41	51	1	1	0.000000	4.215686	4.215686	0.000000	0.000000	0	0	0
42	34	1	1	0.000000	2.647059	2.647059	0.000000	0.000000	0	0	0
43	293	2	2	0.000000	6.392491	6.392491	0.000000	0.000000	0	0	0
44	2028	2	0	0.000000	6.662722	6.425049	0.000000	0.000000	0	0	0
45	51	1	1	0.000000	8.117647	8.117647	0.000000	0.000000	0	0	0
46	2987	2	0	0.000000	7.163375	6.831938	0.000000	0.000000	0	0	0
47	3024	2	0	0.000000	6.421296	6.278439	0.000000	0.000000	0	0	0
48	51	1	1	0.000000	3.392157	3.392157	0.000000	0.000000	0	0	0
49	710	0	2	0.000000	6.740845	6.740845	0.000000	0.000000	0	0	0
50	527	2	2	0.000000	7.675522	7.542694	0.000000	0.000000	0	0	0
51	277	2	0	0.000000	8.234657	8.234657	0.000000	0.000000	0	0	0
52	112	1	1	0.000000	7.955357	7.955357	0.000000	0.000000	0	0	0
53	792	2	0	0.000000	6.337121	6.123737	0.000000	0.000000	0	0	0
54	51	1	1	0.000000	3.333333	3.333333	0.000000	0.000000	0	0	0
55	102	1	1	0.000000	2.235294	2.235294	0.000000	0.000000	0	0	0
56	51	1	1	0.000000	5.392157	5.392157	0.000000	0.000000	0	0	0
57	642	0	0	0.000000	6.043614	5.953271	0.000000	0.000000	0	0	0
58	228	0	1	0.000000	8.135965	8.135965	0.000000	0.000000	0	0	0
59	51	1	1	0.000000	4.725490	4.725490	0.000000	0.000000	0	0	0
60	132	1	2	0.000000	5.446970	5.446970	0.000000	0.000000	0	0	0
61	6	2	2	0.000000	14.666667	14.666667	0.000000	0.000000	0	0	0
62	51	1	1	0.000000	7.196078	7.196078	0.000000	0.000000	0	0	0
63	51	1	1	0.000000	9.215686	9.215686	0.000000	0.000000	0	0	0
64	476	0	2	0.000000	6.252101	6.252101	0.000000	0.000000	0	0	0
65	51	1	1	0.000000	3.882353	3.882353	0.000000	0.000000	0	0	0
66	51	1	1	0.000000	7.607843	7.607843	0.000000	0.000000	0	0	0
67	30	1	1	0.000000	4.766667	4.766667	0.000000	0.000000	0	0	0
68	51	1	1	0.000000	8.058824	8.058824	0.000000	0.000000	0	0	0
69	51	1	1	0.000000	1.215686	1.215686	0.000000	0.000000	0	0	0
70	51	1	1	0.000000	4.745098	4.745098	0.000000	0.000000	0	0	0
71	51	1	1	0.000000	6.725490	6.725490	0.000000	0.000000	0	0	0
72	51	1	1	0.000000	3.705882	3.705882	0.000000	0.000000	0	0	0
73	24	1	2	0.000000	6.250000	6.250000	0.000000	0.000000	0	0	0
74	24	2	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
75	51	1	1	0.000000	1.411765	1.411765	0.000000	0.000000	0	0	0
76	51	1	1	0.000000	6.450980	6.450980	0.000000	0.000000	0	0	0
77	51	1	1	0.000000	5.803922	5.803922	0.000000	0.000000	0	0	0
78	51	1	1	0.000000	1.372549	1.372549	0.000000	0.000000	0	0	0
79	51	1	1	0.000000	2.607843	2.607843	0.000000	0.000000	0	0	0
